ID,time,model nbr,snr (dB),file,choice,correct?,srt,log-slope,var(srt),var(log-slope)
ID,20230601_172831,0.0,0.0,mrt_082_1_reverb_Office_1_snr_0_db.wav,hen,1.0,-6.902875604623501,-2.291258829549094,3.5214489128600355,0.4879050092848294
ID,20230601_172831,0.0,-6.0,mrt_276_1_reverb_Office_1_snr_-6_db.wav,fame,0.0,-1.0413929099790915,-2.3754418872433303,3.4652646264744704,0.48828505068268035
ID,20230601_172831,0.0,1.0,mrt_146_1_reverb_Office_1_snr_1_db.wav,kick,1.0,-4.829975852480235,-1.886747351745429,4.507903124672521,0.7603878235762561
ID,20230601_172831,0.0,-4.0,mrt_157_1_reverb_Office_1_snr_-4_db.wav,teach,1.0,-8.435642483867786,-2.0144460068617716,4.4960901324736575,0.9299531927322222
