ID,time,model nbr,snr (dB),file,choice,correct?,srt,log-slope,var(srt),var(log-slope)
ID,20230601_185736,0.0,0.0,mrt_070_1_reverb_Office_1_snr_0_db.wav,pace,1.0,-6.902875604623501,-2.291258829549094,3.5214489128600355,0.4879050092848294
ID,20230601_185736,0.0,-6.0,mrt_060_1_reverb_Office_1_snr_-6_db.wav,sin,1.0,-11.196079093146981,-2.229599516403344,3.163119553658043,0.486566941396629
ID,20230601_185736,0.0,-11.0,mrt_003_1_reverb_Office_1_snr_-11_db.wav,pack,0.0,-9.092459961783435,-1.9578921851043838,3.8497625391488826,0.7580847527153542
ID,20230601_185736,0.0,-9.0,mrt_017_1_reverb_Office_1_snr_-9_db.wav,back,1.0,-12.393353335629396,-1.981230623161463,4.059165664212986,0.9268319265306973
