ID,time,model nbr,snr (dB),file,choice,correct?,srt,log-slope,var(srt),var(log-slope)
ID,20230601_180514,0.0,0.0,mrt_084_1_reverb_Office_1_snr_0_db.wav,beach,1.0,-6.902875604623501,-2.291258829549094,3.5214489128600355,0.4879050092848294
ID,20230601_180514,0.0,-6.0,mrt_008_1_reverb_Office_1_snr_-6_db.wav,dig,0.0,-1.0413929099790915,-2.3754418872433303,3.4652646264744704,0.48828505068268035
ID,20230601_180514,0.0,1.0,mrt_041_1_reverb_Office_1_snr_1_db.wav,rave,0.0,7.742731066910337,-2.28234518418513,5.287943852035503,0.7321704124706291
ID,20230601_180514,0.0,10.0,mrt_264_1_reverb_Office_1_snr_10_db.wav,lot,0.0,18.528878106428174,-2.1520241194095884,6.560617730762003,0.8661514788758632
